id,label,word_count,sentence_count,avg_sentence_len,avg_word_len,type_token_ratio,noun_count,verb_count,adj_count,adv_count,noun_ratio,verb_ratio,nominal_lemma_count,nominal_lemma_ratio,nominal_suffix_count,top_collocation,top_collocation_pmi
ai_29,1,178,6,29.67,4.89,0.5112,53,23,11,9,0.2978,0.1292,0,0.0,2,,0.0
human_30,0,88,4,22.0,4.78,0.6705,27,8,7,3,0.3068,0.0909,0,0.0,4,,0.0
ai_31,1,232,9,25.78,5.16,0.4914,84,24,17,8,0.3621,0.1034,0,0.0,23,health insurance,4.404781330201789
human_32,0,61,6,10.17,4.93,0.7213,25,5,4,4,0.4098,0.082,0,0.0,8,,0.0
ai_33,1,220,9,24.44,5.15,0.5409,64,32,17,7,0.2909,0.1455,2,0.0312,21,unemployment insurance,4.787932367448146
human_34,0,173,10,17.3,4.26,0.4335,56,16,7,6,0.3237,0.0925,3,0.0536,12,solo 401(k,4.442991700571351
ai_35,1,264,10,26.4,5.04,0.4811,86,35,22,11,0.3258,0.1326,0,0.0,19,retirement savings,4.727941154537242
human_36,0,437,13,33.62,4.29,0.4027,107,54,22,25,0.2449,0.1236,7,0.0654,22,time value,5.511760208390477
ai_37,1,153,4,38.25,4.5,0.4771,51,11,19,0,0.3333,0.0719,1,0.0196,6,bid price,3.8338887646656117
ai_38,1,185,7,26.43,4.14,0.4865,49,18,19,2,0.2649,0.0973,3,0.0612,7,the bid,3.451738123725272
ai_39,1,224,9,24.89,4.25,0.3705,78,21,20,3,0.3482,0.0938,12,0.1538,15,if you,5.006455022137299
human_40,0,98,5,19.6,4.89,0.7041,26,11,5,6,0.2653,0.1122,0,0.0,4,,0.0
ai_41,1,211,9,23.44,5.3,0.4834,77,22,17,6,0.3649,0.1043,0,0.0,11,the aca,3.5580278583059353
human_42,0,141,7,20.14,4.35,0.6667,37,17,5,13,0.2624,0.1206,1,0.027,2,,0.0
ai_43,1,184,7,26.29,4.38,0.4837,51,20,14,8,0.2772,0.1087,0,0.0,10,for a,4.071992455192686
ai_44,1,194,6,32.33,4.71,0.5206,60,24,14,6,0.3093,0.1237,0,0.0,3,order book,4.607368647106175
human_45,0,198,10,19.8,4.51,0.5202,50,21,17,13,0.2525,0.1061,1,0.02,13,,0.0
ai_46,1,202,8,25.25,4.67,0.4059,58,27,10,9,0.2871,0.1337,0,0.0,18,position early,5.3434431794372985
human_47,0,327,16,20.44,3.91,0.4771,67,42,11,23,0.2049,0.1284,8,0.1194,11,a lease,3.7726029960439313
ai_48,1,393,14,28.07,4.06,0.3588,89,55,30,11,0.2265,0.1399,10,0.1124,14,if you,4.037098659680848
human_49,0,87,4,21.75,4.03,0.7471,23,8,6,6,0.2644,0.092,0,0.0,3,,0.0
ai_50,1,210,8,26.25,4.87,0.5667,64,29,25,6,0.3048,0.1381,0,0.0,7,,0.0
human_51,0,69,4,17.25,5.04,0.7101,17,9,11,3,0.2464,0.1304,0,0.0,5,,0.0
ai_52,1,174,6,29.0,4.82,0.4253,66,17,9,4,0.3793,0.0977,0,0.0,11,expense ratios,5.1293306691733696
human_53,0,74,3,24.67,3.99,0.6892,15,12,5,7,0.2027,0.1622,0,0.0,0,,0.0
ai_54,1,128,6,21.33,3.95,0.4531,34,10,9,0,0.2656,0.0781,0,0.0,7,one share,4.426352812506678
human_55,0,123,8,15.38,3.85,0.6667,26,10,9,6,0.2114,0.0813,0,0.0,8,,0.0
ai_56,1,311,14,22.21,4.32,0.4212,83,30,24,10,0.2669,0.0965,3,0.0361,22,down payment,5.285417134986967
ai_57,1,384,16,24.0,4.1,0.4036,98,41,29,8,0.2552,0.1068,4,0.0408,29,down payment,5.129292800880058
human_58,0,322,7,46.0,4.48,0.4814,74,41,25,19,0.2298,0.1273,0,0.0,14,,0.0
ai_59,1,198,10,19.8,4.71,0.4596,54,22,25,8,0.2727,0.1111,0,0.0,2,adrs are,3.788664514147893
ai_60,1,195,6,32.5,4.65,0.4564,61,19,13,6,0.3128,0.0974,3,0.0492,5,of the,2.1228946889824187
human_61,0,269,17,15.82,4.43,0.4833,54,44,8,20,0.2007,0.1636,2,0.037,4,your credit,4.421483706042922
ai_62,1,216,10,21.6,4.51,0.463,45,32,12,11,0.2083,0.1481,0,0.0,19,it is,4.691192826846079
human_63,0,281,11,25.55,4.01,0.5409,52,28,28,17,0.1851,0.0996,0,0.0,9,net worth,5.554607122775729
ai_64,1,236,8,29.5,4.67,0.4958,60,23,28,8,0.2542,0.0975,0,0.0,17,,0.0
human_65,0,243,15,16.2,4.11,0.4938,53,35,15,11,0.2181,0.144,4,0.0755,13,,0.0
ai_66,1,162,6,27.0,4.41,0.4444,53,21,5,3,0.3272,0.1296,1,0.0189,8,credit card,3.8893515090173354
human_67,0,309,19,16.26,5.05,0.5631,92,38,24,20,0.2977,0.123,4,0.0435,15,,0.0
ai_68,1,210,7,30.0,5.41,0.5429,66,23,28,7,0.3143,0.1095,0,0.0,12,,0.0
human_69,0,375,16,23.44,4.52,0.4987,106,47,28,34,0.2827,0.1253,2,0.0189,15,,0.0
ai_70,1,247,8,30.88,4.47,0.4939,73,29,20,11,0.2955,0.1174,1,0.0137,8,debit card,3.8838306299387173
human_71,0,77,5,15.4,4.86,0.7013,16,15,5,3,0.2078,0.1948,1,0.0625,5,,0.0
ai_72,1,297,12,24.75,4.57,0.4209,74,42,26,12,0.2492,0.1414,1,0.0135,19,new house,4.73375804880234
ai_73,1,169,7,24.14,5.07,0.5444,56,22,9,3,0.3314,0.1302,1,0.0179,15,,0.0
human_74,0,235,13,18.08,4.41,0.5234,65,37,12,8,0.2766,0.1574,2,0.0308,12,if you,4.182229455405503
ai_75,1,215,10,21.5,5.02,0.5674,79,37,14,4,0.3674,0.1721,0,0.0,12,credit card,4.684529384886376
ai_76,1,230,9,25.56,4.78,0.4565,69,48,12,6,0.3,0.2087,0,0.0,14,tool that,5.003779407236856
ai_77,1,215,10,21.5,4.63,0.4605,57,22,18,7,0.2651,0.1023,0,0.0,7,from your,4.94756379072017
human_78,0,220,19,11.58,4.45,0.5091,51,29,27,7,0.2318,0.1318,4,0.0784,18,you should,4.087492649307054
ai_79,1,253,11,23.0,4.62,0.5573,66,40,28,14,0.2609,0.1581,7,0.1061,16,,0.0
human_80,0,308,12,25.67,4.49,0.513,54,41,23,17,0.1753,0.1331,0,0.0,10,the market,4.2714782360196235
ai_81,1,313,17,18.41,4.9,0.3387,104,29,31,15,0.3323,0.0927,1,0.0096,15,can also,4.835203856365691
human_82,0,54,1,54.0,4.39,0.7963,12,5,5,2,0.2222,0.0926,0,0.0,3,,0.0
ai_83,1,214,8,26.75,4.57,0.4159,74,18,19,6,0.3458,0.0841,0,0.0,8,effective interest,4.1632618518552995
human_84,0,216,10,21.6,4.81,0.537,54,27,16,8,0.25,0.125,0,0.0,7,,0.0
ai_85,1,198,8,24.75,4.62,0.4192,50,26,17,4,0.2525,0.1313,0,0.0,10,office address,3.8293064986452388
human_86,0,222,7,31.71,4.12,0.4775,36,33,8,10,0.1622,0.1486,0,0.0,9,you 're,3.6310041718664676
ai_87,1,157,4,39.25,4.25,0.4968,42,21,12,5,0.2675,0.1338,0,0.0,14,,0.0
human_88,0,257,13,19.77,3.7,0.5447,55,34,13,9,0.214,0.1323,0,0.0,4,,0.0
ai_89,1,194,8,24.25,4.12,0.3866,50,22,19,9,0.2577,0.1134,0,0.0,6,it is,5.022406146385019
human_90,0,193,10,19.3,3.75,0.5233,24,27,9,11,0.1244,0.1399,0,0.0,1,$ 500,3.6930609782064865
ai_91,1,226,9,25.11,4.47,0.4602,54,23,24,6,0.2389,0.1018,1,0.0185,17,,0.0
human_92,0,158,7,22.57,4.18,0.6076,32,25,8,4,0.2025,0.1582,1,0.0312,5,,0.0
ai_93,1,210,9,23.33,4.46,0.4571,79,23,13,4,0.3762,0.1095,16,0.2025,12,income tax,3.0430599981387245
human_94,0,232,15,15.47,4.09,0.6638,52,25,19,15,0.2241,0.1078,0,0.0,5,,0.0
ai_95,1,227,10,22.7,4.34,0.5198,66,25,26,7,0.2907,0.1101,0,0.0,7,,0.0
human_96,0,237,6,39.5,4.82,0.616,61,30,16,22,0.2574,0.1266,1,0.0164,10,,0.0
ai_97,1,108,4,27.0,4.37,0.5463,27,17,8,0,0.25,0.1574,0,0.0,3,,0.0
human_98,0,199,14,14.21,4.89,0.5628,46,28,13,5,0.2312,0.1407,2,0.0435,7,,0.0
ai_99,1,227,15,15.13,4.52,0.4317,71,28,13,5,0.3128,0.1233,0,0.0,7,this is,3.9260274165581235
human_100,0,287,18,15.94,4.38,0.5714,68,43,20,20,0.2369,0.1498,1,0.0147,13,,0.0
ai_101,1,270,13,20.77,4.65,0.5667,63,50,29,12,0.2333,0.1852,3,0.0476,8,your finances,4.497206330823881
human_102,0,211,15,14.07,4.46,0.5498,50,37,9,8,0.237,0.1754,0,0.0,13,,0.0
ai_103,1,225,8,28.12,4.35,0.4311,58,30,22,2,0.2578,0.1333,0,0.0,7,w-4 form,4.82020746037647
human_104,0,417,16,26.06,4.61,0.4676,113,54,33,21,0.271,0.1295,6,0.0531,14,central bank,4.659004407186836
ai_105,1,190,8,23.75,4.71,0.3842,53,23,17,5,0.2789,0.1211,2,0.0377,2,value of,4.770113870383219
ai_106,1,258,10,25.8,4.71,0.3915,68,37,34,5,0.2636,0.1434,3,0.0441,14,public transit,4.694901866765268
human_107,0,281,16,17.56,4.26,0.5516,50,41,35,20,0.1779,0.1459,3,0.06,6,,0.0
ai_108,1,282,11,25.64,4.77,0.4113,90,24,32,8,0.3191,0.0851,2,0.0222,15,gdp ratio,5.337321462519057
human_109,0,218,10,21.8,4.61,0.4908,55,26,5,9,0.2523,0.1193,0,0.0,12,,0.0
ai_110,1,161,9,17.89,4.25,0.5714,37,24,7,2,0.2298,0.1491,2,0.0541,4,,0.0
human_111,0,140,7,20.0,4.13,0.5714,32,8,16,10,0.2286,0.0571,0,0.0,0,,0.0
ai_112,1,238,9,26.44,4.33,0.3361,81,22,24,3,0.3403,0.0924,0,0.0,11,high water,4.900892277717628
ai_113,1,333,14,23.79,4.38,0.4444,83,47,34,9,0.2492,0.1411,0,0.0,9,an auto,5.353969959401547
ai_114,1,320,14,22.86,4.18,0.4031,79,44,32,7,0.2469,0.1375,0,0.0,3,an auto,5.741481075288699
human_115,0,119,8,14.88,4.05,0.6218,26,15,9,11,0.2185,0.1261,0,0.0,2,,0.0
ai_116,1,132,4,33.0,3.98,0.5076,25,16,16,8,0.1894,0.1212,0,0.0,0,,0.0
ai_117,1,194,9,21.56,4.64,0.4948,47,34,18,8,0.2423,0.1753,2,0.0426,6,,0.0
human_118,0,1011,37,27.32,4.94,0.3927,313,112,109,52,0.3096,0.1108,12,0.0383,48,expense ratios,7.398032485445716
ai_119,1,282,10,28.2,4.76,0.4681,90,31,42,5,0.3191,0.1099,1,0.0111,13,low expense,4.337321462519057
human_120,0,280,20,14.0,4.03,0.575,73,30,18,22,0.2607,0.1071,0,0.0,9,,0.0
ai_121,1,291,10,29.1,4.36,0.4777,54,46,32,16,0.1856,0.1581,0,0.0,11,your income,4.226367471826747
ai_122,1,230,8,28.75,4.42,0.4696,44,33,23,8,0.1913,0.1435,0,0.0,13,it 's,5.26681381307065
human_123,0,127,7,18.14,4.66,0.7087,31,14,14,7,0.2441,0.1102,0,0.0,5,,0.0
ai_124,1,202,10,20.2,5.06,0.505,51,24,22,12,0.2525,0.1188,0,0.0,11,the currency,4.3725895250968145
human_125,0,424,24,17.67,4.44,0.4505,107,61,34,14,0.2524,0.1439,7,0.0654,22,you will,3.2718954373691513
ai_126,1,173,9,19.22,5.16,0.6012,45,28,22,5,0.2601,0.1618,1,0.0222,10,,0.0
human_127,0,173,8,21.62,4.43,0.6879,41,29,6,16,0.237,0.1676,0,0.0,10,,0.0
ai_128,1,181,7,25.86,4.92,0.4807,47,21,22,3,0.2597,0.116,0,0.0,9,it is,4.507838677836736
human_129,0,148,10,14.8,4.15,0.5946,34,25,11,1,0.2297,0.1689,0,0.0,2,,0.0
ai_130,1,350,13,26.92,4.49,0.4114,90,57,18,11,0.2571,0.1629,1,0.0111,14,company 's,4.269472452143671
human_131,0,275,11,25.0,4.37,0.5782,63,29,23,27,0.2291,0.1055,0,0.0,9,,0.0
ai_132,1,334,12,27.83,4.42,0.4012,81,49,33,9,0.2425,0.1467,0,0.0,8,may be,5.124995812043048
human_133,0,154,5,30.8,4.36,0.6429,37,15,9,7,0.2403,0.0974,0,0.0,4,,0.0
ai_134,1,160,7,22.86,5.34,0.6125,47,23,19,6,0.2938,0.1437,0,0.0,6,,0.0
ai_135,1,174,12,14.5,5.09,0.4253,67,27,10,7,0.3851,0.1552,6,0.0896,15,,0.0
ai_136,1,174,7,24.86,4.49,0.4943,53,17,18,0,0.3046,0.0977,0,0.0,9,a business,4.866296263339576
human_137,0,409,16,25.56,4.28,0.4743,100,62,20,19,0.2445,0.1516,0,0.0,6,those money,4.220057105274705
ai_138,1,237,9,26.33,4.36,0.5105,58,32,18,12,0.2447,0.135,2,0.0345,6,bank account,5.087488526377073
ai_139,1,250,10,25.0,4.82,0.484,72,30,16,8,0.288,0.12,1,0.0139,10,the company,3.316214808643539
ai_140,1,217,7,31.0,4.5,0.424,47,34,20,4,0.2166,0.1567,2,0.0426,11,your portfolio,3.9202180561705395
human_141,0,262,15,17.47,4.52,0.5954,62,39,18,17,0.2366,0.1489,1,0.0161,17,,0.0
ai_142,1,198,8,24.75,5.11,0.4747,57,36,12,2,0.2879,0.1818,0,0.0,9,ach transactions,3.3147333258154807
human_143,0,114,4,28.5,4.51,0.6754,21,16,7,8,0.1842,0.1404,1,0.0476,3,,0.0
ai_144,1,113,4,28.25,4.47,0.6195,24,9,12,4,0.2124,0.0796,0,0.0,5,,0.0
human_145,0,92,5,18.4,4.38,0.6848,25,12,11,2,0.2717,0.1304,1,0.04,3,,0.0
human_146,0,53,5,10.6,4.45,0.8113,18,5,5,5,0.3396,0.0943,0,0.0,0,,0.0
ai_147,1,160,8,20.0,4.78,0.4562,51,20,15,2,0.3187,0.125,0,0.0,8,is a,2.7460107337692135
ai_148,1,282,10,28.2,4.22,0.3652,93,30,17,2,0.3298,0.1064,11,0.1183,14,will need,4.922283963240213
human_149,0,160,8,20.0,4.53,0.5375,48,24,10,6,0.3,0.15,0,0.0,9,,0.0
ai_150,1,307,9,34.11,4.09,0.355,90,40,10,5,0.2932,0.1303,0,0.0,22,"$ 10,000",5.096876846605395
human_151,0,213,10,21.3,4.23,0.5493,54,20,15,10,0.2535,0.0939,1,0.0185,7,number of,4.419570691001115
ai_152,1,224,15,14.93,5.61,0.4509,78,28,30,5,0.3482,0.125,0,0.0,2,tools including,5.006455022137299
human_153,0,240,11,21.82,4.62,0.5542,61,28,20,11,0.2542,0.1167,1,0.0164,9,,0.0
ai_154,1,212,8,26.5,4.52,0.4292,65,33,10,0,0.3066,0.1557,0,0.0,7,used to,4.412813625531851
human_155,0,78,4,19.5,4.29,0.7949,21,10,3,3,0.2692,0.1282,0,0.0,6,,0.0
ai_156,1,189,8,23.62,4.4,0.3598,44,35,6,2,0.2328,0.1852,1,0.0227,15,to exercise,4.399970995322196
ai_157,1,140,5,28.0,4.31,0.45,29,21,7,2,0.2071,0.15,0,0.0,13,the holder,2.8916974477228403
human_158,0,167,2,83.5,4.51,0.521,60,8,9,4,0.3593,0.0479,1,0.0167,0,share price,4.070441058713818
ai_159,1,389,9,43.22,4.47,0.3368,104,60,16,7,0.2674,0.1542,3,0.0288,3,n years,5.536950519893858
human_160,0,99,5,19.8,4.0,0.7374,26,11,8,4,0.2626,0.1111,1,0.0385,4,,0.0
ai_161,1,201,7,28.71,4.64,0.5274,61,20,18,8,0.3035,0.0995,0,0.0,9,,0.0
human_162,0,92,4,23.0,4.96,0.8043,28,9,8,3,0.3043,0.0978,0,0.0,1,,0.0
ai_163,1,122,5,24.4,5.11,0.6393,31,20,12,5,0.2541,0.1639,1,0.0323,3,,0.0
human_164,0,274,21,13.05,4.78,0.5584,89,36,16,17,0.3248,0.1314,14,0.1573,6,trades of,3.0589129056427478
ai_165,1,290,12,24.17,5.19,0.5345,100,35,25,11,0.3448,0.1207,0,0.0,22,that it,5.33689559097424
human_166,0,90,3,30.0,4.91,0.7778,24,8,11,4,0.2667,0.0889,0,0.0,4,,0.0
ai_167,1,195,8,24.38,4.79,0.5538,52,27,13,9,0.2667,0.1385,1,0.0192,4,the company,3.1817883780359875
ai_168,1,123,5,24.6,4.68,0.6179,33,18,12,4,0.2683,0.1463,0,0.0,3,,0.0
human_169,0,106,4,26.5,4.8,0.6981,22,15,4,5,0.2075,0.1415,0,0.0,2,,0.0
ai_170,1,191,6,31.83,4.87,0.534,50,29,14,4,0.2618,0.1518,0,0.0,14,,0.0
human_171,0,181,13,13.92,4.31,0.5967,52,25,14,6,0.2873,0.1381,0,0.0,4,,0.0
ai_172,1,115,4,28.75,4.33,0.5565,35,10,6,1,0.3043,0.087,0,0.0,4,,0.0
human_173,0,54,4,13.5,4.78,0.7222,15,10,5,2,0.2778,0.1852,0,0.0,8,,0.0
ai_174,1,235,10,23.5,4.63,0.5277,56,32,29,8,0.2383,0.1362,0,0.0,9,you are,4.297706672825439
human_175,0,239,8,29.88,4.24,0.6025,57,26,20,17,0.2385,0.1088,1,0.0175,3,,0.0
ai_176,1,252,14,18.0,5.17,0.5516,83,34,26,6,0.3294,0.1349,1,0.012,15,you can,4.9126269651576635
human_177,0,110,5,22.0,4.94,0.7182,26,14,14,5,0.2364,0.1273,1,0.0385,3,,0.0
ai_178,1,235,10,23.5,5.11,0.4468,64,40,26,5,0.2723,0.1702,0,0.0,6,invest in,4.182229455405503
ai_179,1,265,13,20.38,4.46,0.4943,62,47,23,12,0.234,0.1774,3,0.0484,9,your money,3.563449883212995
ai_180,1,138,5,27.6,4.1,0.5217,26,12,12,7,0.1884,0.087,0,0.0,8,it is,3.9490918291534993
human_181,0,190,7,27.14,4.24,0.4842,54,21,7,5,0.2842,0.1105,2,0.037,15,,0.0
ai_182,1,274,9,30.44,4.62,0.427,73,42,13,6,0.2664,0.1533,5,0.0685,24,to claim,4.032917697109803
human_183,0,238,11,21.64,4.39,0.5672,53,35,15,5,0.2227,0.1471,2,0.0377,9,,0.0
ai_184,1,169,8,21.12,4.3,0.4852,43,23,16,0,0.2544,0.1361,0,0.0,3,,0.0
human_185,0,114,7,16.29,4.72,0.6667,26,19,8,1,0.2281,0.1667,0,0.0,5,,0.0
ai_186,1,241,9,26.78,4.67,0.4523,71,25,11,6,0.2946,0.1037,0,0.0,9,account holder,4.748963075409092
human_187,0,78,4,19.5,4.36,0.8077,18,10,8,6,0.2308,0.1282,0,0.0,0,,0.0
ai_188,1,293,10,29.3,4.29,0.3652,76,39,28,8,0.2594,0.1331,1,0.0132,7,the book,2.881372308629495
human_189,0,57,6,9.5,4.63,0.6667,7,8,4,4,0.1228,0.1404,0,0.0,4,,0.0
ai_190,1,291,13,22.38,4.82,0.4227,81,49,15,4,0.2784,0.1684,1,0.0123,34,a mortgage,3.571864037852514
human_191,0,124,9,13.78,4.05,0.5323,36,19,2,6,0.2903,0.1532,0,0.0,6,,0.0
ai_192,1,179,7,25.57,4.35,0.3966,59,24,4,3,0.3296,0.1341,0,0.0,14,strike price,4.491898123562115
human_193,0,117,4,29.25,3.85,0.4701,19,18,6,6,0.1624,0.1538,1,0.0526,2,,0.0
ai_194,1,135,6,22.5,4.9,0.6074,45,14,18,1,0.3333,0.1037,2,0.0444,9,,0.0
human_195,0,285,14,20.36,3.87,0.4421,71,32,19,17,0.2491,0.1123,6,0.0845,3,of gold,2.504537269986972
ai_196,1,91,5,18.2,4.86,0.6813,25,10,11,2,0.2747,0.1099,2,0.08,2,,0.0
human_197,0,205,9,22.78,4.57,0.5659,46,27,18,7,0.2244,0.1317,0,0.0,7,,0.0
ai_198,1,198,8,24.75,4.58,0.4697,52,30,13,7,0.2626,0.1515,1,0.0192,2,awarding stock,4.46673641926053
ai_199,1,136,5,27.2,4.83,0.6029,30,18,12,8,0.2206,0.1324,0,0.0,4,,0.0
ai_200,1,259,14,18.5,4.55,0.4517,77,41,20,7,0.2973,0.1583,0,0.0,5,,0.0
human_201,0,453,16,28.31,4.19,0.4702,68,58,33,43,0.1501,0.128,4,0.0588,10,$ 28,6.241593016956126
ai_202,1,249,11,22.64,4.45,0.4257,68,34,12,8,0.2731,0.1365,2,0.0294,14,put option,4.532848146473181
human_203,0,164,10,16.4,4.37,0.6098,30,26,16,6,0.1829,0.1585,3,0.1,10,,0.0
ai_204,1,200,6,33.33,4.87,0.5,55,22,19,7,0.275,0.11,0,0.0,12,,0.0
human_205,0,78,4,19.5,3.95,0.7821,18,8,8,4,0.2308,0.1026,0,0.0,2,,0.0
ai_206,1,242,8,30.25,4.47,0.3843,60,28,11,11,0.2479,0.1157,0,0.0,7,,0.0
ai_207,1,140,4,35.0,5.24,0.5357,38,16,13,2,0.2714,0.1143,0,0.0,14,financial aid,4.069235633275027
ai_208,1,208,7,29.71,4.93,0.5096,67,22,16,3,0.3221,0.1058,0,0.0,14,financial aid,4.274433071506753
human_209,0,170,7,24.29,4.45,0.5529,52,17,9,9,0.3059,0.1,0,0.0,4,,0.0
ai_210,1,126,5,25.2,4.82,0.5317,38,11,17,2,0.3016,0.0873,0,0.0,3,,0.0
human_211,0,218,7,31.14,4.25,0.5596,48,30,16,3,0.2202,0.1376,0,0.0,10,if you,3.7748174171093734
ai_212,1,237,8,29.62,4.18,0.4388,71,24,14,2,0.2996,0.1013,0,0.0,9,,0.0
human_213,0,139,4,34.75,3.45,0.5324,21,15,7,6,0.1511,0.1079,3,0.1429,3,,0.0
ai_214,1,162,7,23.14,4.3,0.4753,42,14,19,3,0.2593,0.0864,4,0.0952,2,the spread,2.6483434095135405
ai_215,1,311,15,20.73,4.72,0.4405,81,56,26,6,0.2605,0.1801,6,0.0741,23,,0.0
ai_216,1,162,8,20.25,4.8,0.5988,35,22,23,3,0.216,0.1358,0,0.0,11,,0.0
human_217,0,95,4,23.75,4.29,0.6842,20,16,1,5,0.2105,0.1684,0,0.0,5,,0.0
ai_218,1,208,7,29.71,4.64,0.476,54,27,13,5,0.2596,0.1298,0,0.0,9,the tenant,3.3150750560040985
human_219,0,310,9,34.44,3.61,0.2516,121,12,1,12,0.3903,0.0387,2,0.0165,2,dec 31st,5.2807857826441005
ai_220,1,250,9,27.78,3.78,0.36,60,31,5,2,0.24,0.124,0,0.0,6,the trade,3.0646760416475747
human_221,0,256,16,16.0,4.5,0.5898,64,29,22,10,0.25,0.1133,0,0.0,9,,0.0
ai_222,1,226,9,25.11,5.24,0.4823,63,37,20,2,0.2788,0.1637,0,0.0,28,an investment,4.5046486387259765
human_223,0,83,3,27.67,5.22,0.7108,26,6,17,4,0.3133,0.0723,0,0.0,2,,0.0
ai_224,1,228,9,25.33,5.14,0.4737,70,19,38,13,0.307,0.0833,2,0.0286,12,small cap,4.254269040317412
human_225,0,114,6,19.0,3.66,0.6404,33,19,3,5,0.2895,0.1667,2,0.0606,6,,0.0
ai_226,1,164,7,23.43,4.9,0.5244,48,21,13,3,0.2927,0.128,0,0.0,6,,0.0
ai_227,1,249,11,22.64,4.96,0.494,79,32,32,7,0.3173,0.1285,0,0.0,16,,0.0
human_228,0,139,9,15.44,4.78,0.705,44,12,9,8,0.3165,0.0863,0,0.0,11,,0.0
ai_229,1,109,4,27.25,4.88,0.5688,29,18,7,2,0.2661,0.1651,6,0.2069,1,,0.0
human_230,0,74,4,18.5,5.38,0.8108,21,7,9,3,0.2838,0.0946,0,0.0,5,,0.0
ai_231,1,162,11,14.73,5.8,0.6049,65,20,17,3,0.4012,0.1235,0,0.0,17,,0.0
human_232,0,1242,113,10.99,4.63,0.3873,383,166,107,29,0.3084,0.1337,18,0.047,64,how much,5.69464901558945
ai_233,1,211,9,23.44,4.59,0.4882,49,35,19,7,0.2322,0.1659,0,0.0,8,need to,3.9205979376906432
ai_234,1,115,5,23.0,4.72,0.6609,28,20,10,1,0.2435,0.1739,1,0.0357,4,,0.0
human_235,0,185,8,23.12,4.43,0.573,50,26,13,9,0.2703,0.1405,3,0.06,8,,0.0
ai_236,1,224,8,28.0,4.89,0.5491,61,24,24,5,0.2723,0.1071,0,0.0,8,,0.0
